ADMIN,9999,15,15,15;
CUTIE,30,10,10,10
BEAR LORD,35,10,10,10
IRON DRILL,33,11,11,12
EAGLE WARRIOR,36,13,11,12
TYGERS,37,19,17,16
ROCK STAR,32,10,14,10
HONEY COMB,30,10,16,10
WARRIOR KING,33,16,15,12
SIRIUS,32,12,15,10
APOLLO,31,10,12,12
CUTIE,30,10,10,10
BLACK TORTOISE,35,13,10,15
DRAGON KING,38,16,18,16
ROCK STAR,32,10,14,10
EARTH SENTINEL,33,14,14,12
VALKYRJA,36,11,13,10
TYGERS,37,19,17,16
EAGLE WARRIOR,36,13,11,12
CUTIE,30,10,10,10
IRON DRILL,33,11,11,12
CYCLOPS,32,15,10,11
IRON DRILL,33,11,11,12
EM SPIDER,30,14,10,12
BLACK TORTOISE,35,13,10,15
SKY LORD,36,15,15,15
SKY LORD,36,15,15,15
IRON CHEF,33,13,13,13
DRAGON KING,38,16,18,16
PALADIN,34,15,12,12
WARRIOR KING,33,16,15,12
TYGERS,37,19,17,16
BLACK TORTOISE,35,13,10,15
ROCK STAR,32,10,14,10
PALADIN,34,15,12,12
CUTIE,30,10,10,10
DARK SHURA,37,14,17,14
IRON DRILL,33,11,11,12
BERSERKER MK II,40,18,14,10
PALADIN,34,15,12,12
SIRIUS,32,12,15,10
VALKYRJA,36,11,13,10
SIRIUS,32,12,15,10
DARK SHURA,37,14,17,14
DARK SHURA,37,14,17,14
CUTIE,30,10,10,10
EAGLE WARRIOR,36,13,11,12
SIRIUS,32,12,15,10
EAGLE WARRIOR,36,13,11,12
